nombre,x,y,z,area,volumen,altura,nivel
stk_2855,808597.603,9156885.536,2855,7075,70750,10,2855
stk_2855,808595.446,9156886.469,2855,7075,70750,10,2855
stk_2855,808577.603,9156865.262,2855,7075,70750,10,2855
stk_2855,808558.979,9156833.639,2855,7075,70750,10,2855
stk_2855,808539.288,9156796.554,2855,7075,70750,10,2855
stk_2855,808535.25,9156785.173,2855,7075,70750,10,2855
stk_2855,808534.436,9156777.29,2855,7075,70750,10,2855
stk_2855,808534.935,9156774.326,2855,7075,70750,10,2855
stk_2855,808537.48,9156767.376,2855,7075,70750,10,2855
stk_2855,808539.657,9156763.217,2855,7075,70750,10,2855
stk_2855,808542.846,9156761.033,2855,7075,70750,10,2855
stk_2855,808549.464,9156758.109,2855,7075,70750,10,2855
stk_2855,808552.751,9156757.349,2855,7075,70750,10,2855
stk_2855,808558.929,9156757.175,2855,7075,70750,10,2855
stk_2855,808564.103,9156758.727,2855,7075,70750,10,2855
stk_2855,808587.883,9156772.54,2855,7075,70750,10,2855
stk_2855,808593.893,9156778.691,2855,7075,70750,10,2855
stk_2855,808640.888,9156862.793,2855,7075,70750,10,2855
stk_2855,808597.603,9156885.536,2855,7075,70750,10,2855
STOCK-2-2760,809441.937,9157008.238,2760,0,0,0,0
STOCK-2-2760,809440.982,9157008.939,2760,0,0,0,0
STOCK-2-2760,809439.531,9157009.904,2760,0,0,0,0
STOCK-2-2760,809439.483,9157009.936,2760,0,0,0,0
STOCK-2-2760,809439.434,9157009.968,2760,0,0,0,0
STOCK-2-2760,809438.941,9157010.29,2760,0,0,0,0
STOCK-2-2760,809438.513,9157010.747,2760,0,0,0,0
STOCK-2-2760,809437.086,9157011.646,2760,0,0,0,0
STOCK-2-2760,809437.04,9157011.675,2760,0,0,0,0
STOCK-2-2760,809436.999,9157011.701,2760,0,0,0,0
STOCK-2-2760,809436.503,9157012.093,2760,0,0,0,0
STOCK-2-2760,809436.469,9157012.126,2760,0,0,0,0
STOCK-2-2760,809436.43,9157012.164,2760,0,0,0,0
STOCK-2-2760,809435.186,9157013.379,2760,0,0,0,0
STOCK-2-2760,809434.774,9157013.822,2760,0,0,0,0
STOCK-2-2760,809434.221,9157014.201,2760,0,0,0,0
STOCK-2-2760,809434.04,9157014.827,2760,0,0,0,0
STOCK-2-2760,809432.919,9157016.156,2760,0,0,0,0
STOCK-2-2760,809432.884,9157016.198,2760,0,0,0,0
STOCK-2-2760,809432.835,9157016.255,2760,0,0,0,0
STOCK-2-2760,809432.788,9157016.316,2760,0,0,0,0
STOCK-2-2760,809432.752,9157016.363,2760,0,0,0,0
STOCK-2-2760,809431.68,9157017.766,2760,0,0,0,0
STOCK-2-2760,809431.289,9157018.155,2760,0,0,0,0
STOCK-2-2760,809429.868,9157019.107,2760,0,0,0,0
STOCK-2-2760,809429.82,9157019.14,2760,0,0,0,0
STOCK-2-2760,809429.759,9157019.181,2760,0,0,0,0
STOCK-2-2760,809429.246,9157019.501,2760,0,0,0,0
STOCK-2-2760,809428.824,9157019.925,2760,0,0,0,0
STOCK-2-2760,809428.773,9157019.978,2760,0,0,0,0
STOCK-2-2760,809428.736,9157020.017,2760,0,0,0,0
STOCK-2-2760,809427.574,9157021.235,2760,0,0,0,0
STOCK-2-2760,809427.544,9157021.257,2760,0,0,0,0
